Song,Singer,Playlist,Tag,Cluster,mean_cluster,std
Without Me (영화 '수어사이드 스쿼드' 삽입곡),Eminem,[POP] 음악 동아리에서 함께 듣던 팝,"추억, 출/퇴근길, 40대, 30대, 2000년대","[16, 15, 16, 3, 5]",11.0,5.761944116355173
Without You,Sophie Francis,감각적이고 분위기 있는 일렉트로닉 사운드,"오늘의선곡, 기분전환, 드라이브, 맑은날","[16, 18, 17, 17, 15, 15, 8, 15, 7, 2]",13.0,5.0990195135927845
Without You (Feat. Abhi The Nomad),Two Another,언제 어디서나 분위기 메이커 !! 미디엄 템포 Love,"매장, Pop, 여행, 기분전환, 카페","[16, 18, 15, 19, 17, 15, 7, 1]",13.5,5.830951894845301
Without You (Feat. Jordan Shaw),Mike Williams,"""이 노래 정말 좋다"" 감탄사 연발 POP ver.13","기분전환, 발라드, 산책, 집, 감성","[16, 18, 15, 9, 16, 16, 15, 7]",14.0,3.605551275463989
Without You (Sleepwalkrs Remix),Brynn Elliott,언제 어디서나 분위기 메이커 !! 미디엄 템포 Love,"Pop, 여행, 알앤비, 매장, 카페","[15, 19, 17, 13, 13, 1]",13.0,5.773502691896258
Without You (feat. Holly Drummond),Finding Hope,"선선해진 가을 날씨 즐기는, ISFJ의 감성팝 PLAYLIST ᕷ","mbti, 가을, 선선한, ISFJ, 잔잔한","[15, 17, 8]",13.333333333333334,3.858612300930075
Wolfgang Amadeus Mozart : Sonata For Two Pianos In D Major K.448 (두대의 피아노를 위한 소나타 라장조)II. Andante,Murray Perahia & Radu Lupu,무한 스트리밍하고 싶은 피아노 연주곡 모음,"부드러운, 피아노, 90년대, 흐린날, 2010년대, 출/퇴근길, 뉴에이지, 해외음악","[16, 17, 17, 15, 16, 11, 3, 11, 5, 2]",11.3,5.64003546088143
Woman,Emmit Fenn,감각적인 감성을 가진 당신을 저격할 플레이리스트,"해외음악, 오늘의선곡, 밤, 드라이브","[16, 17, 15, 15, 17, 15, 8, 2]",13.125,4.985917668794783
Womanifesto,Jill Scott,[스우파] 스트릿우먼파이터에 나온 노래들! - 지속 업데이트!,"스우파, 갈라토크쇼, 걸크러쉬, OST, 카리스마, 스웩","[14, 14, 13, 14, 10, 11]",12.666666666666666,1.5986105077709065
Wonder,ADOY,상반기 국내 추천 플레이리스트,"국내음악, 가요, 집","[16, 13, 16, 14]",14.75,1.299038105676658
Wonder,Shawn Mendes,가을 느낌 가득 담은 팝 명곡 플레이리스트,"기분전환, POP, 집콕, 레이블 PICK, 트렌디, 산책","[16, 18, 16, 16, 17, 14, 15, 12, 7, 2]",13.3,4.796873982084582
Wonder,Spencer Sutherland,적당히 그루비한 BGM vol.5 (집안일/작업/휴식),"매장음악, 그루비, 편안한, 드라이브, 느낌있는, 집, 팝","[16, 17, 15, 16, 17, 17, 13, 17, 2]",14.444444444444445,4.57313680605704
Wonder,에릭남 (Eric Nam),내 마음을 따뜻하게 녹여줄 담요 같은 플레이리스트,"집, 오늘의선곡, 잔잔한, 가요, 2010년대, 겨울","[15, 15, 16, 14, 17, 16, 8, 5]",13.25,4.054318685056714
Wonder Why,경서,지칠 때 힘이 되는 감성 발라드,"추운날, 2020년대, 위로, 발라드, 출/퇴근길, 따뜻한, 2010년대","[17, 9, 15, 16, 15, 9, 3, 3, 5]",10.222222222222221,5.370242654930921
Wonderful Christmastime,Tuxedo,캐롤 백과사전 100,"오늘의선곡, POP","[15, 15, 8]",12.666666666666666,3.2998316455372216
Wonderful Night,Paul,스카에서 애시드재즈 들으며 빡공 🔥,"밤, 카페, 저녁, 집, 방해금지모드, 휴식, 재즈","[17, 19, 16, 15, 14, 17, 16, 16, 16]",16.22222222222222,1.314684396244359
Wondering (From 'High School Musical : The Musical : The Series'),Olivia Rodrigo & Julia Lester,"조용한 새벽, 혼자 듣고 싶은 감성 팝송","30대, 오늘의선곡, 슬픔, 이별, 20대, 휴식","[15, 15, 17, 9, 8, 8, 5, 2]",9.875,4.960783708246107
Wonderstruck,Jane & The Boy,언제 들어도 기분 좋아지는 멜로디의 POP,"드라이브, 행복, 힐링, 산책","[17, 16, 17, 16, 2]",13.6,5.817215828899595
Woodyn' You,Stan Getz,재즈가 흘러나오는 작업하기 좋은 카페 2,"힐링, 독서, 재택근무, 작업, 재즈","[17, 17, 7, 13, 9, 2]",10.833333333333334,5.42883249163411
Woof,Sen Morimoto,매일 듣고 또 들어도 느낌있는 트랙,"해외음악, 라운지, 부드러운, 오후, 휴식, POP","[16, 17, 17, 15, 13]",15.6,1.4966629547095764
Word Up,Cameo,매장에서 하루종일 들어도 질리지 않는 플레이리스트,"POP, 2010년대, 드라이브, 기분전환, 댄서블한, 맑은날, 스페셜추천, 오후","[16, 18, 17, 17, 15, 16, 17, 15, 15, 10, 5, 7, 2]",13.076923076923077,5.0605797548918545
Words,Daya,여름 밤공기 맞으며 듣는 시원한 드라이브 플레이리스트,"해외음악, 댄서블한, 드라이브, 맑은날, 기분전환, 신나는, 휴가/여행, 오늘의선곡","[16, 16, 18, 17, 17, 15, 15, 17, 18, 15, 15, 16, 8, 15, 10, 7, 2, 2, 1]",12.631578947368421,5.612115900027926
Words,Doves,가을엔 조금 센치해져도 괜찮아,"휴식, 산책, 락/메탈, 매혹적인, 새벽, 오늘의선곡","[15, 15, 17, 16, 15, 13, 12, 12, 8, 3]",12.6,4.029888335921977
Work From Home (Feat. Ty Dolla $ign),Fifth Harmony,시끄러운 건 싫지만 신나고 싶은 당신을 위한 데일리 POP (상시업뎃),"도입부, 힐링, 산책, 가을, 감성","[15, 16, 15, 17, 16]",15.8,0.7483314773547883
Work It Out,Matoma,언제 어디서나 분위기 메이커 !! 미디엄 템포 Love,"카페, 매장, 알앤비, 드라이브, groove","[17, 19, 17, 13, 13, 2]",13.5,5.5901699437494745
Work Out,Openside,여름 밤공기 맞으며 듣는 시원한 드라이브 플레이리스트,"출/퇴근길, 휴가/여행, 해변, 2010년대, 맑은날, 드라이브, 댄서블한, 오늘의선곡","[17, 17, 15, 15, 15, 15, 16, 15, 16, 8, 9, 10, 3, 5, 2, 1]",11.1875,5.570219362825848
World of the Forgotten,혁오 (HYUKOH),정말 사랑할 수밖에 없는 인디 음악들,"10대, 부드러운, 국내음악, 카페, 밤, 2010년대","[16, 13, 19, 15, 5]",13.6,4.715930449020639
